"Group.1","ENERGIA_KCAL","ENERGIA_KJ","PTN","CHOTOT","FIBRA","LIP","COLEST","AGSAT","AGMONO","AGPOLI","AGTRANS","CALCIO","FERRO","SODIO","MAGNESIO","FOSFORO","POTASSIO","COBRE","ZINCO","VITA_RAE","TIAMINA","RIBOFLAVINA","NIACINA","PIRIDOXAMINA","COBALAMINA","VITD","VITE","VITC","FOLATO","Est"
11,139.966799563005,587.465744385441,6.95723122137405,17.6880992789578,1.93094645176458,4.94162334301361,22.6138158228233,1.54268818149132,1.60475186718664,1.34451684008187,0.100426522568868,31.7949214584025,0.884640255559243,193.844454647915,22.9517377201571,80.8915755122248,182.349217231995,0.125562098960062,0.963668162130767,32.6707256817679,0.0781026255669875,0.0731497145701958,1.2512081629605,0.0444919189069587,0.403914717889147,0.115903452538998,0.535892584080097,7.85224656073681,32.8908548293506,"Rondônica"
12,137.832784010125,579.22572641103,6.48400467013141,18.5035026831107,1.50492765241275,4.51807595594571,21.7383819226626,1.46401189304179,1.44059777439681,1.17295904378501,0.0969730382916846,32.0945389934296,0.788405661891426,170.303476569636,20.2142040114713,74.3217772875377,164.344224364229,0.103039449590694,0.907389122414907,26.8468015112021,0.0651858129577768,0.0717964099526066,1.18321132109005,0.0484121006570444,0.421153335038776,0.130158651443343,0.497619151227919,7.84407968521112,26.040095567374,"Acre"
13,137.501466101485,577.643694232673,6.42838326621287,18.8601561955446,1.37053253564356,4.27855162784653,22.6847146017327,1.37391724467822,1.3251674355198,1.11775533935644,0.109208040841584,32.635670174505,0.809780512376238,170.337479104084,17.8900100668317,74.9260975365099,153.468652349134,0.095214642450495,0.707684028960396,30.0089537303218,0.0686149748762376,0.083631075,1.22156427648515,0.0591597334158416,0.495698815965347,0.184842297277228,0.444410916707921,5.68057003613861,26.4326796232673,"Amazonas"
14,170.330251442358,715.278523654673,8.27785521661596,22.3167299517466,1.69586154515892,5.65001158816742,23.8790194188608,1.72264808979335,1.77917926256163,1.55496611454946,0.148855088639463,29.9569564754012,1.11906228994021,248.547486753383,20.6117535340397,91.9287539630756,178.322028120214,0.120127718451694,1.16863418546103,39.9875495195636,0.0901669411517885,0.110974055386552,1.49221456204762,0.0818298090842337,0.501325466275045,0.119605750550719,0.565047083814119,7.49547982586804,36.0175213500472,"Roraima"
15,130.048070612833,545.341071546717,6.17695027872508,17.6227041885193,1.57616237652744,4.15600323096223,21.3211462347256,1.25457437427403,1.4019685345909,1.10483879152535,0.0861876068624262,30.2274069241044,0.750367389141848,153.022315623821,19.0346988369419,70.9660244936812,153.903904551526,0.100111298610788,0.841034052292896,25.7028292067788,0.055912856711425,0.0544862347256423,1.05063812142824,0.0385554768154997,0.43547702968917,0.146307541815732,0.914199184012452,7.19215035055522,22.4983673491149,"Pará"
16,136.864544538621,574.561172290634,6.62268055786556,17.8304256026441,1.45641608774455,4.619988995149,22.7244299344315,1.42197646942801,1.51556314142545,1.20678501092809,0.11134488059065,30.2508697793059,0.80545758169412,169.787459268884,18.7220868772323,76.8936876656538,156.462630714057,0.102919696412389,0.8287240695133,30.4383968369849,0.0655293419158804,0.0696953592942055,1.35334375126606,0.0470686739698278,0.403889349912042,0.127519405085559,0.950774603656911,7.53292347992963,24.5447593733675,"Amapá"
17,129.851996393483,545.14199437259,6.45151596940679,16.4572100671558,1.70538297630892,4.57810296573809,21.347945575799,1.45042261721179,1.44200314140032,1.25277348806119,0.0898655991170252,28.1075078606517,0.81208305932098,182.095722298533,20.7659548352195,73.7282586273473,164.668063910583,0.126417982837955,1.03119303413755,38.94822920781,0.0589087725407288,0.0702012523317995,1.06193853065539,0.0370544098992663,0.444110538490238,0.0979871517846039,0.463884989740082,10.4435060654769,28.4335623022634,"Tocantins"
21,126.069122328985,529.781751278814,6.09415096813485,17.373079809113,1.5133364629214,3.82098554121663,20.3397384857624,1.22140469560948,1.20269505645953,1.03367032227521,0.0827834933604526,29.0780527450554,0.734995587740216,169.21862131767,19.0241778479918,70.3123975504278,147.291371274466,0.111283155444896,0.76811383286576,29.2066079268948,0.0620792689718053,0.0671354493383831,1.13089343035489,0.0440627044466265,0.44384361422827,0.175131338780568,0.437581806120541,7.70215956775144,24.6142932907841,"Maranhão"
22,112.901423587325,474.675907357925,5.58190100425013,15.7946432247189,1.56683085047433,3.32856930276348,17.3663352289152,1.08770361996306,1.05625672157165,0.884502662876818,0.0627497971773398,24.6573421350178,0.608139312626652,160.769208044492,17.6354152993921,64.3130561614332,139.55110229516,0.0946729536610297,0.758244194447931,16.7715091272887,0.0520854731632086,0.05018348420996,1.02477913526891,0.0304671930312214,0.253434060936463,0.0845313638075426,0.327556197030289,9.54836652350125,24.8496117889102,"Piauí"
23,124.644364858666,523.837303956593,5.67724587304221,17.528749798982,1.52146839032667,3.79266070321823,19.7418415376081,1.20934788876044,1.17024270155877,1.03278136373807,0.0975422310374403,27.9543532143124,0.733844888928252,169.459732942329,17.4867588665349,67.7785271245712,139.157223321058,0.118568708793258,0.793296538074284,27.2769823855161,0.0668814744928401,0.0752716219794153,1.17731365667885,0.0478913544152745,0.255912965020883,0.111188142153938,0.345328106447643,8.12619620301313,26.3806805057615,"Ceará"
24,136.085669989026,571.844569938426,6.10120205255441,18.9751478735384,1.80315821361946,4.24002618696275,25.0266820183808,1.40095745484363,1.36258859939036,1.04123459876547,0.104217873864537,33.5672630387399,0.843892762263001,199.398811454091,18.9191854353777,76.2088168724532,157.620533981909,0.131691701658233,0.849806266408584,57.1803315663293,0.0685151829817716,0.0807542733920624,1.24840843806011,0.0494985179540328,0.39523093763336,0.131055752301408,0.439964299518381,11.8946971392428,32.6044649552521,"Rio_Grande_do_Norte"
25,132.057016602726,555.007899480315,6.01184031129432,18.4963608310342,1.75231639049873,4.05391170244606,22.2554972572307,1.33280065409626,1.30534215628656,0.989463023018529,0.103271579462901,29.225091538786,0.826197547982478,198.877271301009,18.2266293846761,72.952318178516,153.335570827688,0.12319344271216,0.829311453214704,56.1108039622616,0.0693497839632139,0.0790257338176475,1.20763670598318,0.0518857240225288,0.374552388104372,0.0960889802193018,0.434877970233722,10.3233328132397,33.3783790500095,"Paraíba"
26,126.042914817013,529.790128717441,5.72483669559842,17.5062102303825,1.54009587924497,3.88757709221893,21.2740220941312,1.31661099019123,1.20478668783383,0.905588187916255,0.12102956330366,32.9137901711836,0.785401793537751,187.887838224514,17.0013526108803,71.1317874017804,142.581159095054,0.107343257945928,0.773261435311573,45.8254327931916,0.0683526564952193,0.0831552819485658,1.19018247527201,0.0548345483844379,0.317258150098912,0.106680871496868,0.413660657039235,11.3478390356083,31.5550769607979,"Pernambuco"
27,131.082639047509,550.968055227751,6.03826182131436,18.0225392305742,1.60158125097237,4.11474131726642,26.0597249419459,1.33019563427353,1.30383709657438,1.00727828295255,0.120011911751995,26.6299758284595,0.82810757276787,208.471502452361,18.1486827162984,72.8297492323317,149.599512834856,0.102180248811547,0.768621213633352,44.5147412166873,0.069106771759486,0.0831707136477571,1.29299695496845,0.0551992694978248,0.332815441816244,0.136153240369933,0.451676707735746,12.1734987761099,32.4971755579245,"Alagoas"
28,125.800560740516,528.515527467375,5.51779313555387,17.3149348706373,1.55433952707132,4.0451132561912,21.7557480811836,1.32606615972686,1.27517298496206,0.990791558710167,0.112537835660091,28.1633946086495,0.778243070591806,191.193122894871,16.8830675853111,67.4271684931715,141.710024051684,0.0999092283308042,0.726185392048558,46.186940583308,0.0639048044764795,0.0771357594537178,1.19690469301973,0.0544585291198786,0.327980026555387,0.107383879817906,0.436124489484067,9.85508050482549,31.1658684660698,"Sergipe"
29,110.981439958108,466.210599573565,4.89506331922178,15.3458194339402,1.57139069029781,3.57054510285991,15.6548549044013,1.15324189800478,1.11627681530653,0.939706350994925,0.0977073047879911,24.4855631066919,0.710448898590188,159.413175792672,16.5503431351298,59.5241983819195,136.794968704963,0.0948082050404146,0.676254495112651,34.7344244690915,0.0587190803324472,0.068793803861543,1.03814132891592,0.0470433434974086,0.280248892156073,0.069018406307903,0.39038787794248,7.41708358899272,28.6710196677059,"Bahia"
31,119.799845265121,502.996078420368,5.42756395259837,16.1030229965704,1.80613019393449,3.99307059271061,16.4649317451145,1.2533531299555,1.26879466085904,1.10126408881596,0.0840036956677975,29.8670329185242,0.777254773296553,169.461116056153,19.9844705741991,68.5999056771827,165.256905432364,0.100790402480527,0.72000344448672,24.9006277069237,0.0751379815836478,0.0694282465148969,1.11169974158978,0.0442554041134257,0.229910665588636,0.0880643385226756,0.443421431111745,7.79729053780505,30.879768153984,"Minas_Gerais"
32,120.931701725858,507.669102914003,5.53538776857977,15.9792509037658,1.74154450127499,4.22069633255109,17.4436849214679,1.24074309342548,1.43175453629107,1.17189746516871,0.0901323300934994,27.1390055146162,0.79082840520714,176.769445816457,19.389951226579,68.7714226874607,158.915190845467,0.0982553399977826,0.712759358161795,24.7902712020954,0.0691464259580916,0.075186577940796,1.20171126649174,0.0451228810192542,0.234130386100743,0.0913740902287594,0.49371235304335,5.85039061153406,30.5221257859677,"Espírito_Santo"
33,133.019984283111,558.615830711807,6.1489956016367,17.8907215650475,1.76357186792486,4.40680893900046,18.2752202405986,1.38387168343672,1.41192919277678,1.17742915026461,0.113173466161988,33.6381964480601,0.884299902113342,204.246839175621,20.2947062994603,77.9263446298146,170.113730859181,0.105494433357866,0.750352881891144,30.7979635456314,0.0737200333823993,0.0900968158623348,1.46531692179231,0.0605898199453265,0.288734343654716,0.0960909593277959,0.491116525829741,7.24038232844426,33.8751307918901,"Rio_de_Janeiro"
35,124.945564337738,524.599525011282,5.58149345785489,16.2710558328047,1.55878915161335,4.38818285820213,17.9637425288635,1.37435302336659,1.47516452288397,1.12497727199393,0.0942752017499875,33.5756076244923,0.78198613952264,178.666693842639,18.7167948304418,72.4327231685052,159.722630241576,0.0978445341786592,0.745314713408213,27.3026281781828,0.0680765895615003,0.07883038500351,1.21624358040415,0.0504420353883568,0.276108878115128,0.110159387755102,0.472624856572482,7.90494268881938,29.0890399998433,"São_Paulo"
41,126.749687096455,532.10177378862,5.81093249457976,16.0152305028043,1.43978541946927,4.59146732245982,18.2984640669653,1.38713523518104,1.60010635551636,1.19913591583266,0.0887916296002695,28.5735334976912,0.768779674329654,168.124044259973,20.0464625534989,70.5709889959769,166.612669730276,0.0909565955924612,0.816141149566975,21.4337886243088,0.0933720376939694,0.0708715116431162,1.12426526239125,0.0485021303434472,0.259656566638261,0.091532450266553,0.475256212885709,9.34144201391229,29.0622995684615,"Paraná"
42,124.866397871653,524.400436228343,5.70949273510763,15.9940421747304,1.33861626069222,4.367552225314,19.0229002966358,1.38612089943863,1.50552747391059,1.04493201599289,0.0922739493760349,35.1067621471467,0.791920979483866,186.218020214672,18.9902119005694,72.8734960085215,161.769571666552,0.0846604004078995,0.773629560033924,25.0229114997981,0.0750561096078511,0.0733163350026251,1.20718367574008,0.0519836675618917,0.265580543940067,0.0960716165744518,0.444044863858487,8.64500121854933,28.5154553759339,"Santa_Catarina"
43,122.210170424318,513.57884780077,5.30759226562922,16.5099471591952,1.40810375079328,4.02971187317715,16.0725411602755,1.32044393064745,1.35251149437956,0.971277865987038,0.0846971307554685,34.8592532040069,0.736410699331623,185.259908550111,21.4035797647178,68.8691731478362,174.565502927474,0.0871247961450176,0.794219152427086,24.0712612309445,0.071461256768161,0.0754371455238995,1.07389622139144,0.0483312109100729,0.243838053908993,0.0851730013671348,0.408580306204429,9.4888619181407,28.614270919626,"Rio_Grande_do_Sul"
50,136.586424778543,573.697533230807,6.24912574920029,17.6260303574834,1.65612498585138,4.68399464294722,20.0875120593166,1.46141572851563,1.5721143782142,1.22660009055118,0.0993285006305364,32.7628384081416,0.858456066452387,192.96563636851,26.2751760352331,76.8450408908711,190.383320395316,0.115221788385827,1.00598669514333,28.4461686050535,0.0842291177257628,0.0758439894500492,1.19122124344857,0.0536833207738681,0.352337848563607,0.118026314591535,0.499094137902928,9.51976124500185,31.7933435376169,"Mato_Grosso_do_Sul"
51,136.491727847976,573.046668353897,6.62757023157921,17.3497317236014,1.79320062045984,4.7819434897676,20.9013140766067,1.46640254063228,1.56474620881027,1.32855987711214,0.092123754149943,30.0520601659482,0.845307847133442,192.065574108394,22.7370700019077,77.0011877004608,176.307452056761,0.117198900376592,1.00535032161439,27.0222803458699,0.0760162638372727,0.0688073614538427,1.15081532002874,0.0443513459442049,0.358901956047768,0.119339494202468,0.501390041920618,9.80904001853228,30.3488541258362,"Mato_Grosso"
52,134.447276283186,564.244910812143,6.55196934820208,17.0382571723311,1.96751031948023,4.78363538859639,20.1021188623278,1.45690333415481,1.53396335700683,1.3510384329562,0.0887602306485941,30.9997433158284,0.833079886501624,190.862033514283,22.7554944095441,78.0098313415705,175.672625774191,0.122535758395878,0.94987316914977,29.3495420878235,0.0753639672902431,0.0675396256525148,1.19863918225608,0.040762468914529,0.339944773832194,0.106562109107203,0.504523553153355,7.23759346190209,30.9923999194578,"Goias"
53,124.536434951013,522.957564207074,5.5888278001287,16.2395544036865,1.41810088394636,4.29429108165477,19.8508509385379,1.37510427822152,1.43061758255978,1.05043010842328,0.0925128275697443,31.8227930481402,0.729552952598804,172.274803879704,17.607315252578,69.3540739674859,152.05912800235,0.0906233137661906,0.762961459274327,27.2833796638368,0.0632542283709731,0.0721592202756559,1.21547444474427,0.0492185161698771,0.280443573252242,0.10639729014447,0.464170522172866,8.60853337356775,25.6025282541182,"Distrito_Federal"
